"Titel","Album titel","Brødtekst","SKU","Pris","Udgivet","Sti"
"Amalie Riis","Safe and Sound"," <p>Den 15. april 2008 udgav singer/songwriteren Amalie Riis sit andet studiealbum ”Safe and Sound” på pladeselskabet Songcrafter Music. 22-årige Amalie Riis, oprindeligt fra Ebeltoft, har spillet sine egne sange live, siden hun flyttede hjemmefra som 16 årig. I 2005 udgav hun debutalbummet ”Places Where We Go”, en plade der vidnede om et stort musikalsk talent og en usædvanlig sangstemme. Dagbladet Information skrev bla.: ”....den purunge Amalie Riis, der alene med sin guitar og lidt skrøbelige stemme hæver sig klasser over den linde strøm af ensomme kvinder med guitar, der fulgte efter Tina Dickow...” Hun har siden spillet en lang række koncerter i både Danmark, Sverige, Tyskland og USA - senest en meget vellykket koncert-turné i Holland - og er kendt som en meget overbevisende live-artist. Den nyeste plade ”Safe and Sound” befinder sig musikalsk et sted imellem pop, folk, og americana. Musikken er engelsksproget og inspireret af rejser til USA, livets store og små underfundigheder og af sangskriver-helte som Carole King og James Taylor. I løbet af sommeren 2008 opdagede reklameselskabet Mitsuboshi&Co Amalies musik og bestilte hende prompte til at indsynge lydsporet til en reklamefilm. Fjernsynskanalen DK4 optog også en koncert med Amalie og Band, live i studiet, ligesom flere og flere fik øjnene op for det unge talent, gennem radioens P4, hvor blandt andet sangen ”I Think I Love You” fra ”Safe and Sound” blev playlistet. Albummet er produceret af Morten Maltesen i Lundgaard Studios. Lyt til musikken og læs mere på : <a href=""http://www.myspace.com/amalieriis"">www.myspace.com/amalieriis</a></p>
 ","SCM005","8125","1","http://rillbar.dk/sites/default/files/amalieriis_safeandsound_300w_web_jpg_300x306_crop_upscale_q95_0.jpg"
"Amalie Riis","Blueprint"," <p>På Amalie Riis’ nye EP ’Blueprint’ får vi en håndfuld sange, der hver især fortæller en historie om menneskelige tilstande. Tunge emner som misundelse, tab, sorg, utilstrækkelighed og selverkendelse bliver smidt på bordet. Men leveres i en selvironisk, finurlig tone, ofte med en kombination af humor og sårbarhed. ”Mine sange er som ukrudt,” siger Amalie. ”De vokser altid frem, der hvor der ikke rigtigt er tid eller plads til dem, de insisterer på at være der, og de dukker op i fuldt flor, lige meget om de bliver plukket eller ej. Jeg tror på, de har skrevet mig og ikke omvendt.” Amalie mødte ved en tilfældighed producerne David Elberling og Rasmus Glendorf, og efterfølgende blev hun introduceret for deres arbejdsmetode: ’artisten-ud-af-huset.’ Dvs., at hun har afleveret alle sangene i studiet, kun med akkorder og sang, og efterfølgende har de to haft helt frie hænder til at give deres skud på, hvordan musikken omkring skulle formes. Uden Amalie. ”Det har været sjovt og grænseoverskridende - fordi jeg er lidt af en kontrol-freak. Men det var virkelig, hvad jeg havde brug for, for at komme videre med mit udtryk og ud af en kasse, som jeg havde følt mig fanget i,” lyder det fra Amalie Riis.</p>
 ","SCM017","4000","1","http://rillbar.dk/sites/default/files/images/amalie_riis_blueprint.jpg"
"Amazing, The","The Amazing"," <p>Stockholm-bandet The Amazing opstod under forskellige jamsessions og har med tiden udviklet sig til et enstemmigt folk-rock popkollektiv. Sangeren og komponisten Christoffer Gunrup har en fortid i Granada, Reine Fiske og John Holmegard har ikke mindst gjort sig bemærket med bandet Dungen. Derudover har The Amazings bandmedlemmer spillet med navne som Anna Jarvinen, Sagor & Swing og Dreamboy.</p>
<p>Debutalbummet, der er bredt og spænder over alt fra svingende elektrisk folk-rock, via psykedelisk pop til sprøde og fine akustiske ballader, fik en meget flot modtagelse af både den svenske og danske presse.</p>
 ","XMLPSUB34","10000","1","http://rillbar.dk/sites/default/files/theamazing_st_300w_web__jpg_300x306_crop_upscale_q95.jpg"
"Amazing, The","Wait For A Light To Come"," <p>Jag skulle kunna rabbla på om att The Amazing är en svensk supergrupp med medlemmar från Dungen, Anna Järvinen, Träd Gräs och Stenar m.fl.. Jag skulle kunna orera om Christofer Gunrups själfulla röst och Reine Fiskes magiska gitarrspel. Jag skulle kunna linda in deras framträdanden i så vitt skilda kontexter som The Fader TV och TV4 Nyhetsmorgon i små säljande fraser. För att sedan dra krystade paralleller till de senaste årens populärkulturella vurm för afrobeat och djup själfull house, allt på grund av ett par helt magiska congas. Kanske skulle jag avsluta det hela med en krystad analys värdig en gymnasist som blivit kär i popmusiken för första gången. En analys fylld av mer eller mindre horribla misstolkningar av The Amazings texter. Allt med syftet att få er att lyssna på deras nya minialbum. Men jag väljer att inte göra det. För er precis som för The Amazing handlar det om bra musik och den kärlek vi hyser till vad den gör med oss. Musik skapad av glädje och lust, som finns där för att du tycker att musik är det bästa som finns. Toner frammejslade av personer som pusslat om sitt vardagsliv för att kunna göra det som får dem att orka fortsätta andas i vår cyniska samtid. Människor som spelar och lyssnar på musik för att deras liv hänger på det. Folk som ägnar mer tid än vad som förmodligen anses som hälsosamt av den stora massan framför gamla musikklipp på Youtube. Om du känner så, om musiken har tagit en oproportionerligt stor del av ditt liv, då tycker jag att du ska nyttja informationen nedan, lyssna, beröras och bilda dig en egen uppfattning. Om inte, så kan du lugnt fortsätta twittra, lyssna på Spotify eller göra det som du gjorde innan vi tog din tid i anspråk. The Amazing består av Christoffer Gunrup (ex-Granada), Reine Fiske (Dungen/Anna Järvinen/Träd Gräs och Stenar), Johan Holmegard (Dungen/Life on Earth!/The Works) och Fredrik Swahn (Anna Järvinen/Dreamboy).</p>
 ","SUB069LP","9500","1","http://rillbar.dk/sites/default/files/amazingwait.jpg"
"Amazing, The","Wait For A Light To Come","","FP0048","6000","1",""
"Amazing, The","Deportation Day","","FP0038","1000","1",""
"Amazing, The","Dragon","","FP00xx01","1000","1",""
"Amazing, The","The Amazing","","FP0035","6000","1",""
"Amdi Petersens Armé","S/T","","HS17-LP","8125","1",""
"American Football","American Football","","PRC-025LP","7000","1","http://rillbar.dk/sites/default/files/AmericanFootball.jpg"
"Anchorless","Anchorless"," <p>Det københavnske band, Anchorless, er nyt, men medlemmerne er så absolut ikke ukendte på den alternative danske musikscene. Anchorless tæller medlemmer fra The Fashion, Lack, The River Phoenix, Rising, Gravy, Trust og Little Jimmy Reeves. Sekstetens  musikalske retning er simple guitarbårne sangstrukturer med erklæret fokus på umiddelbarhed og stærke, men særegne melodier. Stilmæssigt bliver der lånt fra rock, pop og indie og sågar en lille snert af punk. Bandets selvbetitlede debut-EP udkommer den 30 maj på 12” vinyl og derudover vil Ep’en blive tilbudt som gratis download fra bandets MySpace side og fra <a href=""http://www.PonyRec.com"">www.PonyRec.com</a>. Anchorless er: Jacob Ankjær Johansen (Lack, The Fashion) Jakob Reichert Nielsen (Lack) Nikolaj Wichmann (The River Phoenix) Henrik W. Hald (Trust, Rising) Daniel Kruse (Gravy) Jan “Damage” Petersen (Gravy, Little Jimmy Reeves)</p>
 ","PONY30LP","4000","1","http://rillbar.dk/sites/default/files/anchorless_anchorless_300w_web_jpg_300x306_crop_upscale_q95.jpg"
"Anchorless","Every Nook and Cranny"," <p>Anchorless er for Play/Rec et nyt bekendtskab og samtidig et solidt nik tilbage til fortiden, når flere medlemmer tidligere har stået bag nogle af de mest betydningsfulde udgivelser på Play/Rec. Bandets medlemmer har dog ikke kun slået deres folder i Play/Rec regi, og samlet set består Anchorless af rutinerede kræfter fra en række mere eller mindre fremtrædende bands på den alternative musikscene, både i Danmark og internationalt (Lack, Trust, Rising, The Fashion, The River Phoenix m.fl.).</p>
<p>Også musikalsk formår Anchorless med deres debutalbum at blande nyt og gammelt via en nutidig, frisk og energifyldt sammensmeltning af udtryk fra nogle af de sidste mange års mest markante alternative popbands. Anchorless er således først og fremmest et band, der spiller nogle virkelig iørefaldende sange i stil med eksempelvis The Shins, R.E.M. og The Smiths. Anchorless udgav sidste år den selvbetitlede Anchorless EP på henholdsvis vinyl og som gratis download. Pladen er downloadet flittigt og bandet har allerede i deres relativt korte levetid spillet koncerter i det meste af Europa og Danmark og dette sammen med en række bemærkelsesværdige bands (The War On Drugs (US), The Black Heart Procession (US), The Smith Westerns (US) og Kashmir (DK)).</p>
<p>I sommeren 2011 begyndte Anchorless arbejdet på deres debutalbum. Et arbejde som de selv tog fuld kontrol over. Jakob Reichert Nielsen fra Anchorless har gennem de sidste år opnået stor anerkendelse for hans arbejde med produktionen af plader med bl.a. Rising, Lack, Trust og Obstacles og derfor var det helt naturligt, at det var ham, der skulle stå for optagelser og mix af pladen. Her, et halvt år senere, er de nu klar med deres første fuldlængde. Pladen udgives d. 6 februar, 2012 med titlen ""Every Nook and Cranny"".</p>
<p>Ni numre indspillet med energi og passion og en plade, der ikke er bange for at sværge til den gode pop-sang. Albummet har i sidste ende været forbi Brian Mørk Hansens kyndige ører og han har med en nænsom mastering fået det sidste presset ud af pladens riller. Artwork er på smukkeste vis udført af Nicolaj Bejder fra Bemerk (Kashmir, Kitty Wu etc.) ANCHORLESS: Henrik W. Hald (Sang) Jan Petersen (Kor & keys) Jacob Ankær Johansen (Guitar) Jakob Reichert Nielsen (Guitar) Nikolaj Wichmann (Bas) Daniel Kruse (Trommer)</p>
 ","PlayRec 41","7500","1","http://rillbar.dk/sites/default/files/images/anchorless_playrec41_hires.jpg"
"Anders","In The Dark Hours ","","Kommun2-13","9000","1","http://rillbar.dk/sites/default/files/anders.jpg"
