"Titel","Album titel","SKU","Pris","Udgivet","Sti","Sti","Nid","Format"
"Annamy","Woodpecker","SUB-094-LP","100,00 kr.","1","http://rillbar.dk/sites/default/files/annamy.jpg","Annamy-Woodpecker","3060","<a href=""/da/lp"">LP</a>"
"Antennas","Neanderthal","Nov0034","75,00 kr.","1","","Antennas-Neanderthal","3061","<a href=""/da/cd"">CD</a>"
"Anti Ritual","S/T","Indisc03","50,00 kr.","1","http://rillbar.dk/sites/default/files/images/ANTI%20RITUAL_cover.jpg","Anti Ritual-S/T","3062","<a href=""/da/12-ep"">12"" EP</a>"
"Antibalas","Antibalas (LP + MP3)","DAP028-LP","85,00 kr.","0","http://rillbar.dk/sites/default/files/antibalas-album-cover4-1024x1024.jpg","Antibalas-Antibalas (LP + MP3)","3063","<a href=""/da/lpmp3"">LP+MP3</a>"
"Antifilm","IO","S&W14LP","62,00 kr.","1","http://rillbar.dk/sites/default/files/antifilm_io_300w_web__jpg_300x306_crop_upscale_q95.jpg","Antifilm-IO","3065","<a href=""/da/lp"">LP</a>"
"Antifilm","IO","S&W14CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/antifilm_io_300w_web__jpg_300x306_crop_upscale_q95_1.jpg","Antifilm-IO","3064","<a href=""/da/cd"">CD</a>"
"Aron","Djævlens Horn","ORPH014","75,00 kr.","1","http://rillbar.dk/sites/default/files/AronDjavelens.jpg","Aron-Djævlens Horn","3067","<a href=""/da/lp"">LP</a>"
"Aron","Testament From The Human Plantation","ORPH017","75,00 kr.","1","http://rillbar.dk/sites/default/files/aron_testament_300w_web_jpg_300x306_crop_upscale_q95.jpg","Aron-Testament From The Human Plantation","3066","<a href=""/da/lp"">LP</a>"
"Artificial Limbs, The","The Artificial Limbs","NOV0003","25,00 kr.","1","http://rillbar.dk/sites/default/files/theartificiallimbs_st_300w_web_jpg_300x306_crop_upscale_q95.jpg","Artificial Limbs, The-The Artificial Limbs","3068","<a href=""/da/10ep"">10""EP</a>"
"Astro Black","Is Love the Blood of the Universe?","TONOM081","31,00 kr.","1","http://rillbar.dk/sites/default/files/astro_islovetheblood_300w_web_jpg_300x306_crop_upscale_q95.jpg","Astro Black-Is Love the Blood of the Universe?","3069","<a href=""/da/7"">7""</a>"
"Attilio Mineo","Man in Space with Sounds","SUB-081-LP","105,00 kr.","1","http://rillbar.dk/sites/default/files/Man_In_Space_With_Sounds_0.jpg","Attilio Mineo-Man in Space with Sounds","3070","<a href=""/da/lp"">LP</a>"
"Attrap","House of Dreams","WAR002","32,00 kr.","1","http://rillbar.dk/sites/default/files/attrapcover_jpg_300x306_crop_upscale_q95_0.jpg","Attrap-House of Dreams","3071","<a href=""/da/cd-ep"">CD-EP</a>"
"Aucan  (LP)","Black Rainbow","FIR.Y03","93,75 kr.","1","http://rillbar.dk/sites/default/files/aucanbr_black_rainbow.jpg","Aucan  (LP)-Black Rainbow","3072","<a href=""/da/lp"">LP</a>"
"Aucan  (LP)","Black Rainbow Remixes","FIR.Y21","93,75 kr.","1","http://rillbar.dk/sites/default/files/BLACK-RAINBOW-REMIXES-2012.jpg","Aucan  (LP)-Black Rainbow Remixes","3073","<a href=""/da/lp"">LP</a>"
"Audionauts","Playing Space Shuttles","skr-019","25,00 kr.","1","http://rillbar.dk/sites/default/files/images/audionauts-playing%20space-shuttles.jpg","Audionauts-Playing Space Shuttles","3074","<a href=""/da/7"">7""</a>"
"August Engkilde","Kaotic Brain / Beautiful Noise","BRUM001LP","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/August%20e%20kaotic.jpg","August Engkilde-Kaotic Brain / Beautiful Noise","3076","<a href=""/da/lp"">LP</a>"
"August Engkilde","Kaotic Brain / Beautiful Noise","BRUM001CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/August%2520e%2520kaotic.jpg","August Engkilde-Kaotic Brain / Beautiful Noise","3075","<a href=""/da/cd"">CD</a>"
"B.A.N.G.E.R.S","VIP EP","DVP027","45,00 kr.","1","http://rillbar.dk/sites/default/files/bangers.jpg","B.A.N.G.E.R.S-VIP EP","3077","<a href=""/da/10ep"">10""EP</a>"
"Baby Woodrose","Third Eye Surgery","AFROLP043","85,00 kr.","1","http://rillbar.dk/sites/default/files/images/baby_woodrose_third_eye_surgery1_grande.jpg","Baby Woodrose-Third Eye Surgery","3899","<a href=""/da/lp"">LP</a>"
"Baby Woodrose","Third Eye Surgery","AFROLP043","85,00 kr.","1","http://www.youtube.com/watch?v=byu20Xkfq0U","Baby Woodrose-Third Eye Surgery","3899","<a href=""/da/lp"">LP</a>"
"Baby Woodrose ","Chasing Rainbows ","AFROLP035","85,00 kr.","1","http://rillbar.dk/sites/default/files/BW-Chasing.jpg","Baby Woodrose -Chasing Rainbows ","3082","<a href=""/da/lp"">LP</a>"
"Baby woodrose ","Blows Your Mind LP ","AFROLP020","85,00 kr.","1","http://rillbar.dk/sites/default/files/babywoodrose_blows.jpg","Baby woodrose -Blows Your Mind LP ","3079","<a href=""/da/lp"">LP</a>"
"Baby Woodrose","Money For Soul ","AFROLP018","85,00 kr.","1","http://rillbar.dk/sites/default/files/images/Baby%20Woodrose%20%E2%80%93%20Money%20For%20Soul%20CD%20%28AFROCD018%29.jpg","Baby Woodrose-Money For Soul ","3085","<a href=""/da/lp"">LP</a>"
"Baby Woodrose ","Love Comes Down ","AFROCD042","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/BW-LoveComes-Cover.jpg","Baby Woodrose -Love Comes Down ","3081","<a href=""/da/cd"">CD</a>"
"Baby Woodrose ","Coming Around Again ","FRO046","28,75 kr.","1","http://rillbar.dk/sites/default/files/BW-coming.png","Baby Woodrose -Coming Around Again ","3084","<a href=""/da/7"">7""</a>"
"Baby Woodrose","S/T","AFROCD038","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/babywoodrose.jpg","Baby Woodrose-S/T","3557","<a href=""/da/cd"">CD</a>"
"Baby Woodrose ","Kicking Ass & Taking Names","AFROLP047","85,00 kr.","1","http://rillbar.dk/sites/default/files/images/BW-kicking%20ass%20cover.jpg","Baby Woodrose -Kicking Ass & Taking Names","3083","<a href=""/da/lp"">LP</a>"
"Baby Woodrose ","Kicking Ass & Taking Names","AFROCD047","75,00 kr.","1","http://rillbar.dk/sites/default/files/images/BW-kicking%20ass%20cover.jpg","Baby Woodrose -Kicking Ass & Taking Names","3083","<a href=""/da/cd"">CD</a>"
"BadboE","Break The Funk","AD011CD","75,00 kr.","1","http://rillbar.dk/sites/default/files/badboe_breakthefunk_300w_web_jpg_300x306_crop_upscale_q95_0.jpg","BadboE-Break The Funk","3089","<a href=""/da/cd"">CD</a>"
"BadboE","Dynamite EP","AD008EP","37,00 kr.","1","http://rillbar.dk/sites/default/files/badboe_dynamite.jpg","BadboE-Dynamite EP","3088","<a href=""/da/12ep"">12""EP</a>"
"BadboE","Pump Up The Funk","BBP-065","50,00 kr.","1","http://rillbar.dk/sites/default/files/badboe.png","BadboE-Pump Up The Funk","3086","<a href=""/da/lp"">LP</a>"
"BadboE","Pump Up The Funk","BBP-065CD","50,00 kr.","1","http://rillbar.dk/sites/default/files/badboe_0.png","BadboE-Pump Up The Funk","3090","<a href=""/da/cd"">CD</a>"
